학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액,위도,경도
세경대학교,사립,강원,전문대학,5372224.4,3665401131,137,341876000,119126000,37.1728006203,128.4542813615
세명대학교,사립,충북,대학,7503323.4,27135544315,2034,5842705657,2972241921,37.17384235,128.1961585
세종사이버대학교,사립,서울,대학,2920578.9,20945861579,1943,4104429340,796721000,37.5537274683,127.0728868294
세한대학교,사립,전남,대학,8013059.4,15689289604,749,2350198396,1280745204,34.74537742,126.483264
송곡대학교,사립,강원,전문대학,5619869.9,2541742406,215,553820541,253620541,37.7920447565,127.6493918315
송원대학교,사립,광주,대학,7106105.0,12910635151,542,1337985411,503246440,35.1081845053,126.8732664426
송호대학교,사립,강원,전문대학,6038419.6,3542906073,332,974803250,447553250,37.4734881442,128.0022338137
수성대학교,사립,대구,전문대학,6388042.7,15925474730,735,1787940680,612574000,35.8552529043,128.6496112874
수원과학대학교,사립,경기,전문대학,6011130.5,8515467444,876,2428963636,1223713247,37.1920328913,126.9839265344
수원대학교,사립,경기,대학,8195102.4,31646858717,2359,7841856563,4890630011,37.2101174848,126.9794803525
수원여자대학교,사립,경기,전문대학,7213277.4,12401768746,1185,3565176941,2127168361,37.2527054445,126.9633072795
숙명여자대학교,사립,서울,대학,8825485.2,37266114624,3878,17079345602,12866157702,37.5452862347,126.9654124669
순복음총회신학교,사립,충북,대학,6243103.4,545410000,41,136290000,68640000,36.9042423884,128.1678518854
순천향대학교,사립,충남,대학,8540656.9,43959133744,3030,9689436508,5781752520,36.7713718912,126.9341337749
숭실대학교,사립,서울,대학,8643438.3,47295097252,4875,20181855175,14507896375,37.4964289689,126.9551579174
숭실사이버대학교,사립,서울,대학,2772244.9,14230790237,1043,2271000982,423050982,37.5744754999,126.9887757806
숭의여자대학교,사립,서울,전문대학,6587312.7,10915944203,822,2390087754,1364920820,37.55785307,126.9874816
신구대학교,사립,경기,전문대학,7227605.5,23132255675,2108,6286516748,3660230886,37.4488513933,127.1676965918
신라대학교,사립,부산,대학,7298401.8,27686176338,2360,6847357244,3665774438,35.17204045,128.997735
신성대학교,사립,충남,전문대학,6915858.1,10347635940,987,2864445015,1363145015,36.8537094815,126.5937686782
신안산대학교,사립,경기,전문대학,7253397.8,8942966273,488,1356723105,755873105,37.3090167886,126.8054164764
신한대학교,사립,경기,대학,9187366.5,27399613195,2667,9955525064,7271983513,37.9038616846,127.0378886139
아신대학교,사립,경기,대학,6900000.0,1456549490,401,1450233247,880333247,37.51121707,127.4289283
아주대학교,사립,경기,대학,9093154.8,33881462317,4774,19896866614,14163247011,37.2830563757,127.043660039
아주자동차대학교,사립,충남,전문대학,7204000.0,1758168030,127,388670000,203570000,36.4035077721,126.5795707763
안동과학대학교,사립,경북,전문대학,5939264.6,8206602093,636,1670565751,684415751,36.590202067,128.6528085274
안양대학교,사립,경기,대학,8369570.6,18027042578,1592,5323364012,3700264012,37.3917681913,126.9205262824
여주대학교,사립,경기,전문대학,7519321.8,11548910721,1091,3331752722,1883052722,37.2710928928,127.6363531039
연성대학교,사립,경기,전문대학,7086392.6,23236174920,1644,4821225758,2904960368,37.3974718885,126.9092044765
연세대학교,사립,서울,대학,9745809.0,97485820452,13963,75307027162,59192880206,37.56380644,126.9429309
연암공과대학교,사립,경남,전문대학,5568095.9,4427791532,247,597181170,200914490,35.1653123715,128.0980918385
연암대학교,사립,충남,전문대학,6283484.2,5507073675,336,940261774,482811774,36.9469108866,127.1557402868
영남대학교,사립,경북,대학,8072811.3,86583959963,6155,19827759555,11552106208,35.8304916312,128.7521801315
영남신학대학교,사립,경북,대학,6812000.0,1815807630,219,797474600,429524600,35.8806359388,128.8164972026
영남외국어대학,사립,경북,전문대학,5505204.2,2353022660,48,99570000,42320000,35.7851049019,128.7328729477
영남이공대학교,사립,대구,전문대학,6688516.2,26034798030,1508,3803655748,1597017503,35.8476757388,128.5841726241
영진사이버대학교,사립,대구,전문대학,2498803.1,7460586050,458,972326380,154509700,35.8956530967,128.6206225557
영진전문대학교,사립,대구,전문대학,6757226.4,31697863380,1843,4682098340,1839915000,35.8956530967,128.6206225557
예수대학교,사립,전북,대학,7491000.0,1850899675,125,355494000,197894000,35.81609361,127.1347885
예원예술대학교,사립,전북,대학,8879588.7,3737027520,326,1214724280,850774280,35.6477649163,127.2714667108
오산대학교,사립,경기,전문대학,7075413.7,15253208203,1151,3414367826,2042617826,37.1535666327,127.0632053539
용인대학교,사립,경기,대학,8424516.6,21573193510,2438,8989800254,6219917520,37.2278788826,127.1707242866
용인예술과학대학교,사립,경기,전문대학,7453471.8,8864296375,915,2745234393,1648688720,37.2285587731,127.2176837455
우석대학교,사립,전북,대학,7519491.2,26857797942,2009,6291711599,3459536217,35.9115415519,127.0676949957
우송대학교,사립,대전,대학,7817764.1,41788761782,2375,7020636060,3951536060,36.3357718385,127.4456423615
우송정보대학,사립,대전,전문대학,6636858.1,13679458591,761,1895040218,730290977,36.3370292829,127.4535858736
울산과학기술원,국공립,울산,대학,6567981.0,12728147295,621,1667363660,618563660,35.5773071412,129.1876189496
울산과학대학교,사립,울산,전문대학,6701181.8,16645593367,1192,3221713014,1512467155,35.4948007607,129.4157376925
웅지세무대학교,사립,경기,전문대학,6960000.0,947631320,44,93950000,29950000,37.8187547821,126.735704511
원광대학교,사립,전북,대학,8097126.7,50363170102,3807,12926723871,7287790934,35.9717139652,126.9602236808
원광디지털대학교,사립,전북,대학,2735094.3,10866595740,854,1894635000,407685000,35.9717139652,126.9602236808
원광보건대학교,사립,전북,전문대학,6668343.3,17215009747,1288,3199808850,1302625510,35.9727464625,126.9561956538
위덕대학교,사립,경북,대학,7312525.9,10285635601,498,1310568589,640022400,36.0161111238,129.2825906412
유원대학교,사립,충북,대학,7193377.1,25406860288,718,1954052500,875202500,36.1958945383,127.7990854009
유한대학교,사립,경기,전문대학,6756634.8,15996396436,1350,3879765042,2223821343,37.4881299136,126.8223663169
을지대학교,사립,대전,대학,9247499.6,18769868329,1378,4923662685,3483047722,36.333022209,127.4055717139
이화여자대학교,사립,서울,대학,9311388.0,56816775931,6414,32296067030,25303391914,37.56446452,126.9502888
인덕대학교,사립,서울,전문대학,7170128.5,20614258405,1963,6032833035,3725583035,37.6303438662,127.0544999153
인제대학교,사립,경남,대학,7926630.2,29815087765,2712,8341064821,4632077412,35.2528100896,128.9005153246
인천대학교,국공립,인천,대학,4650414.5,37440493078,3161,8140996359,3486469679,37.377855807,126.6325069881
인하공업전문대학,사립,인천,전문대학,7318815.2,28982779296,2190,6562518097,3685744174,37.4514480321,126.6515422581
인하대학교,사립,인천,대학,8490347.9,61359069359,6279,21427332234,13433089900,37.4514480321,126.6515422581
장로회신학대학교,사립,서울,대학,7308300.0,2791650905,1220,5624399828,4036908667,37.5502659035,127.1031347439
재능대학교,사립,인천,전문대학,7199291.8,12333988145,1020,2994760060,1650046111,37.47553313,126.6504734
전남과학대학교,사립,전남,전문대학,5493549.3,13257904087,676,1541103000,501653000,35.2774370304,127.1328147109
전남대학교,국공립,광주,대학,4198425.5,58416519402,5464,15911428359,7397825254,35.1729465032,126.9011018013
전남도립대학교,국공립,전남,전문대학,1962652.2,2108041405,107,212951000,20351000,35.32652548,126.9925943
전북과학대학교,사립,전북,전문대학,5403179.4,7459259898,423,1030542400,304692400,35.5480413147,126.8613577145
전북대학교,국공립,전북,대학,4461484.3,53677932423,4722,13190828102,5965614323,35.8411407037,127.13158997
전주교육대학교,국공립,전북,대학,3646000.0,1667174845,151,322992000,85186000,35.80916406,127.1538039
전주기전대학,사립,전북,전문대학,6800000.0,9947327470,344,888178778,349478778,35.81783331,127.1356698
전주대학교,사립,전북,대학,7543384.2,44117634272,2888,8461241157,4420841952,35.8161641667,127.0888841235
전주비전대학교,사립,전북,전문대학,6728959.0,12653440975,868,2160380650,844797300,35.8108768907,127.0909663382
제주관광대학교,사립,제주,전문대학,5475138.5,5938775742,300,725502500,256902500,33.447480226,126.4343028271
제주국제대학교,사립,제주,대학,5819108.1,829500560,36,104510000,53210000,33.4427732523,126.5698310914
제주대학교,국공립,제주,대학,4060630.6,27177775706,2463,6826796910,3021462231,33.45723698,126.5642939
제주한라대학교,사립,제주,전문대학,5618737.1,13285697155,943,2508256790,1138306790,33.4767897566,126.4741519031
조선간호대학교,사립,광주,전문대학,5477556.7,2301457770,268,668981750,254881750,35.1378110886,126.9287741264
조선대학교,사립,광주,대학,7718958.2,67271271120,4654,14340930403,7878910797,35.1460056436,126.9343635402
조선이공대학교,사립,광주,전문대학,5951378.2,10285526958,618,1386525192,389306250,35.1398173087,126.931692189
중부대학교,사립,충남,대학,7846832.5,29467560845,2403,7205941632,4147246987,36.191971712,127.4487039547
중앙대학교,사립,서울,대학,8796904.4,82149216925,8243,37724313643,27425680303,37.0004292004,127.2287086511
중원대학교,사립,충북,대학,7659699.5,19065380412,869,2421250370,1107333700,36.8191551495,127.79849385
진주교육대학교,국공립,경남,대학,3778500.0,3337101170,198,454258400,121108400,35.1858250841,128.0679685022
진주보건대학교,사립,경남,전문대학,6726579.9,9884414529,897,2399462054,1080762054,35.1980582876,128.0666581473
차의과학대학교,사립,경기,대학,7762597.4,9843910131,1471,7013512215,5242917765,37.8559879769,127.1375048262
창신대학교,사립,경남,대학,6964561.1,8062068945,429,1071783340,440450000,35.2446928951,128.5995961248
창원문성대학교,사립,경남,전문대학,6502184.0,3506021795,316,828450000,400850000,35.2349037743,128.661714662
청강문화산업대학교,사립,경기,전문대학,8073243.3,14557158551,1312,4201868370,2438932536,37.206453486,127.3564962171
청암대학교,사립,전남,전문대학,6217559.3,7984718509,418,1109168010,458168010,34.92772924,127.4895728717
청운대학교,사립,충남,대학,8000799.0,28095808243,1571,4467460184,2450978547,36.5823651167,126.6645184213
청주대학교,사립,충북,대학,8319491.0,44492459515,2958,9314869685,5556019685,36.6508565,127.4951991
초당대학교,사립,전남,대학,7231632.4,11923383402,739,2768468400,1696229500,34.98004734,126.4702665
총신대학교,사립,서울,대학,7556237.0,6354207349,1796,7109940278,4725037998,37.4879290071,126.9667631083
추계예술대학교,사립,서울,대학,9898886.0,3787086680,573,2371550980,1662600980,37.56317672,126.9540593
춘천교육대학교,국공립,강원,대학,3601590.4,2864006050,200,470804000,136254000,37.8594173196,127.7486049086
춘해보건대학교,사립,울산,전문대학,6647074.6,10005880005,1022,2767332439,1290282439,35.458332858,129.1959329439
충남대학교,국공립,대전,대학,4401836.0,43638538434,4563,13338782899,6478261031,36.3683682377,127.3420015374
충남도립대학교,국공립,충남,전문대학,2460813.7,3885646444,161,331514500,76214500,36.4364359136,126.8020104451
충북대학교,국공립,충북,대학,4305681.0,38061483280,3513,10046521423,4692054743,36.6300378225,127.4547916245
충북도립대학교,국공립,충북,전문대학,1873069.8,1919043283,80,171595980,42645980,36.2999991824,127.5721386448
충북보건과학대학교,사립,충북,전문대학,6723179.0,8939776939,592,1632055860,818905860,36.70350037,127.5533575
충청대학교,사립,충북,전문대학,6323805.7,11629662810,660,1798504685,855868851,36.6187308679,127.3698161787
칼빈대학교,사립,경기,대학,8030000.0,2902386060,221,792035000,497035000,37.3051459317,127.1286864256
평택대학교,사립,경기,대학,8198774.1,12342047520,1139,3945248449,2608015109,36.9946392307,127.1339684969
포항공과대학교,사립,경북,대학,5613500.0,11164528477,853,3912469000,2786819000,36.0128105618,129.3267049258
포항대학교,사립,경북,전문대학,6575609.6,7393888887,638,1657443451,669293451,36.0864217443,129.4106976799
한경국립대학교,국공립,경기,대학,4021297.0,16318842120,1077,2510916810,887194080,37.0102023831,127.2637663549
한국과학기술원,국공립,대전,대학,6866000.0,28234464377,2092,12159420000,9179320000,36.368282782,127.3569819243
한국관광대학교,사립,경기,전문대학,6832009.8,4562224173,321,894811460,445811460,37.2835214732,127.377924128
한국교원대학교,국공립,충북,대학,3456068.7,6351229650,765,2193765325,1179065325,36.6056651998,127.3573246773
한국기술교육대학교,사립,충남,대학,4475287.1,15536880063,662,1580662224,546912224,36.7651049505,127.2812003896
한국농수산대학교,국공립,전북,전문대학,0.0,174818800,64,131825000,9975000,35.8303912414,127.0685755786
한국방송통신대학교,국공립,서울,대학,762435.9,22882242229,7674,16102031058,1797795906,37.5791954862,127.003290881
한국복지사이버대학교,사립,경북,전문대학,2196000.0,5242231000,201,367858420,37358420,35.784803171,128.7293080486
한국성서대학교,사립,서울,대학,7506665.2,4374722229,486,1535841775,965522825,37.6489617716,127.0637509635
한국승강기대학교,사립,경남,전문대학,7221135.9,2611759150,119,320707160,157457160,35.6757097541,127.8959636315
한국에너지공과대학교,국공립,전남,대학,9000000.0,4376732500,38,75750000,0,35.010533852,126.8038870467
한국열린사이버대학교,사립,서울,대학,2423087.7,11211873610,583,1129347000,127147000,37.59833282,127.0916241
한국영상대학교,사립,세종,전문대학,6918276.8,12153280245,1195,3487376404,1775131954,36.46241109,127.2097438
한국체육대학교,국공립,서울,대학,3860074.8,6496372903,796,2273712065,1046762065,37.5199046323,127.1320005395
한국침례신학대학교,사립,대전,대학,5989978.1,5319422952,772,2637574759,1538874759,36.3847334913,127.3230427537
한국폴리텍 I 대학 서울강서캠퍼스,사립,서울,전문대학,2494000.0,519564115,75,150222000,29422000,37.5492424831,126.8424451284
한국폴리텍 I 대학 서울정수캠퍼스,사립,서울,전문대학,2494000.0,1448198911,255,531973830,92673830,37.5299749717,126.9968169507
한국폴리텍 I 대학 성남캠퍼스,사립,경기,전문대학,2432000.0,652492340,112,234314000,42064000,37.4588779494,127.1539911049
한국폴리텍 I 대학 제주캠퍼스,사립,제주,전문대학,2164000.0,69969000,6,11546000,3046000,33.448756636,126.5613103287
한국폴리텍 II 대학 남인천캠퍼스,사립,인천,전문대학,2494000.0,75656000,8,18273519,2294000,37.4726480111,126.6773336383
한국폴리텍 II 대학 인천캠퍼스,사립,인천,전문대학,2494000.0,1983080063,351,765140080,141540080,37.4791385371,126.7542073146
한국폴리텍 III 대학 강릉캠퍼스,사립,강원,전문대학,2526761.9,164062750,18,35047500,2247500,37.7368285503,128.8904156808
한국폴리텍 III 대학 원주캠퍼스,사립,강원,전문대학,2174000.0,146485000,20,39087000,587000,37.3626214834,127.9331420069
한국폴리텍 III 대학 춘천캠퍼스,사립,강원,전문대학,2432000.0,338657000,39,79012000,8512000,37.7993114937,127.7774724313
한국폴리텍 IV 대학 대전캠퍼스,사립,대전,전문대학,2432000.0,971267450,194,373412660,34762660,36.3510398956,127.4537573718
한국폴리텍 IV 대학 아산캠퍼스,사립,충남,전문대학,2432000.0,504413001,49,97612000,7712000,36.7720509091,126.9488454328
한국폴리텍 IV 대학 청주캠퍼스,사립,충북,전문대학,2432000.0,885337000,109,226412000,17212000,36.6395868034,127.4483781674
한국폴리텍 IV 대학 충남캠퍼스,사립,충남,전문대학,2164000.0,248860000,28,53582000,1082000,36.5826195875,126.6561652419
한국폴리텍 V 대학 광주캠퍼스,사립,광주,전문대학,2432000.0,1237525667,170,327462000,34112000,35.1829561363,126.8786718293
한국폴리텍 V 대학 익산캠퍼스,사립,전북,전문대학,2432000.0,115165000,10,13216000,1216000,35.9520018788,126.9905866097
한국폴리텍 V 대학 전남캠퍼스,사립,전남,전문대학,2164000.0,218341000,23,45496000,3246000,34.92352639,126.428917
한국폴리텍 V 대학 전북캠퍼스,사립,전북,전문대학,2321000.0,532743000,86,167965500,13765500,35.809487015,126.9397888173
한국폴리텍 VI 대학 구미캠퍼스,사립,경북,전문대학,2432000.0,867186001,112,221316000,28116000,36.1192767203,128.373736041
한국폴리텍 VI 대학 대구캠퍼스,사립,대구,전문대학,2432000.0,767142336,152,322796000,33696000,35.8740878357,128.553023239
한국폴리텍 VI 대학 영남융합기술캠퍼스,사립,대구,전문대학,2432000.0,258177000,27,60228000,9728000,35.9202430396,128.6420149045
한국폴리텍 VI 대학 영주캠퍼스,사립,경북,전문대학,2164000.0,92598000,7,11082000,1082000,36.801389866,128.6031602767
한국폴리텍 VII 대학 부산캠퍼스,사립,부산,전문대학,2432000.0,1147292587,184,362944000,41344000,35.21847737,129.0189807
한국폴리텍 VII 대학 울산캠퍼스,사립,울산,전문대학,2432000.0,907036333,170,332414000,35364000,35.5785306876,129.3480368277
한국폴리텍 VII 대학 창원캠퍼스,사립,경남,전문대학,2432000.0,2198211560,286,581520000,54220000,35.2257115695,128.6693024064
한국폴리텍 특성화대학 로봇캠퍼스,사립,경북,전문대학,2164000.0,271145000,48,103762000,15812000,35.9720683326,128.9210194243
한국폴리텍 특성화대학 바이오캠퍼스,사립,충남,전문대학,2595000.0,496650000,63,118055396,8082500,36.1459959595,127.0215587801
한국폴리텍 특성화대학 반도체융합캠퍼스,사립,경기,전문대학,2432000.0,473384000,86,165818000,26468000,37.0085293504,127.1762713311
한국폴리텍 특성화대학 항공캠퍼스,사립,경남,전문대학,2433846.2,409553667,72,147967500,25517500,34.9478495184,128.1079868526
한국항공대학교,사립,경기,대학,9210265.3,15244895175,1525,6207019679,4468200389,37.5990163345,126.8641725268
한남대학교,사립,대전,대학,7869677.4,46491151779,2663,7623566816,4138457204,36.3527995217,127.4233094254
한동대학교,사립,경북,대학,7413037.9,17698667318,1601,5440010127,3110010127,36.1023014257,129.3892660582
한라대학교,사립,강원,대학,7767468.5,12352179562,718,2087017290,1172990010,37.3039828221,127.9069246715
한림대학교,사립,강원,대학,8226649.5,27696772569,2101,6399889506,3782459506,37.8854286586,127.7349573
한림성심대학교,사립,강원,전문대학,6250016.4,10093895908,717,1919414900,979364900,37.8977761322,127.756726775
한서대학교,사립,충남,대학,8525200.1,25832986918,2379,9433551933,6463498324,36.6907157277,126.586964878
한성대학교,사립,서울,대학,8033733.0,26492831358,2160,7292427494,4841694494,37.5832358514,127.0103900048
한세대학교,사립,경기,대학,8859564.3,10412071990,1237,4782664529,3366314529,37.3441480061,126.953853734
한신대학교,사립,경기,대학,7892204.1,18457453964,1812,5405572571,3458322560,37.1924358258,127.0282138619
한양대학교,사립,서울,대학,9286647.0,102965000000,12580,60326739616,44744213741,37.5545035492,127.0466112168
한양사이버대학교,사립,서울,대학,2936765.0,26133850820,3335,7951942464,2371751000,37.5571863579,127.0475189747
한양여자대학교,사립,서울,전문대학,6761049.0,23463497155,1804,5170959269,3138001639,37.5579175887,127.0493218973
한영대학교,사립,전남,전문대학,6185299.1,4129483265,371,949565546,369028046,34.7537134374,127.7148970318
한일장신대학교,사립,전북,대학,6852602.7,3632525397,283,813619490,389034741,35.7642830072,127.205860466
협성대학교,사립,경기,대학,8135252.7,13592547291,1223,3975632911,2526632911,37.2132508836,126.9536229703
혜전대학교,사립,충남,전문대학,6323583.0,11039397527,826,2271958028,1041758028,36.5797705008,126.6591957671
호남대학교,사립,광주,대학,6788793.8,26828664218,1497,3974798476,1821598476,35.1499676557,126.7650403456
호남신학대학교,사립,광주,대학,6973029.8,2274507323,213,770385800,462385800,35.1401102947,126.9105687025
호산대학교,사립,경북,전문대학,6196261.2,8078326110,584,1634434977,725493540,35.9019863205,128.7987951284
호서대학교,사립,충남,대학,8412408.0,47505272182,4206,14593672832,9523455362,36.734463023,127.0771069285
호원대학교,사립,전북,대학,7501238.6,22422425790,1608,4736899673,2477416333,35.9679261845,126.8637876786
홍익대학교,사립,서울,대학,9152336.8,75731014441,7001,31416608948,23045389913,37.5525192524,126.9249906195
화신사이버대학교,사립,부산,대학,2515636.4,5696989620,178,316200000,14800000,35.18574618,129.1032576
